source_file,relative_source_path,file_size_bytes,document_title,num_chunks_generated,total_characters,status,chunking_method,warning_or_error
cleaned_corpus\adsk-350f07e72fb141f0b41e9f88bca88128.md,adsk-350f07e72fb141f0b41e9f88bca88128.md,5371,Maya Software | Get Prices & Buy Official Maya 2024 | Autodesk,37,5285,indexed,docling_hierarchical_chunker,
cleaned_corpus\adsk-354883442ae844be887e0c76c409b8dd.md,adsk-354883442ae844be887e0c76c409b8dd.md,2223,Free VRED Learning Edition,20,2182,indexed,docling_hierarchical_chunker,
cleaned_corpus\adsk-35b4146fc2cb4510a26009cbce7f7cc9.md,adsk-35b4146fc2cb4510a26009cbce7f7cc9.md,5324,Privacy Statement Hungarian,15,4779,indexed,docling_hierarchical_chunker,
cleaned_corpus\adsk-35cd0298e58b4df2b6368f666d8bfcfe.md,adsk-35cd0298e58b4df2b6368f666d8bfcfe.md,2479,Autodesk CFD Software | Get Prices & Buy Official CFD 2024,22,2434,indexed,docling_hierarchical_chunker,
cleaned_corpus\adsk-3601472a26864de9b5ce8b7c2d150c5f.md,adsk-3601472a26864de9b5ce8b7c2d150c5f.md,325,Untitled Autodesk Page,7,314,indexed,docling_hierarchical_chunker,
cleaned_corpus\adsk-362147da878a4e599409b207a7e68eb5.md,adsk-362147da878a4e599409b207a7e68eb5.md,325,Untitled Autodesk Page,7,314,indexed,docling_hierarchical_chunker,
cleaned_corpus\adsk-362f82173e7e4bfba003f18fada3b47c.md,adsk-362f82173e7e4bfba003f18fada3b47c.md,384,System requirements for Autodesk Vault 2024 products,7,373,indexed,docling_hierarchical_chunker,
cleaned_corpus\adsk-368388c3ace34ede92126034b9b75e98.md,adsk-368388c3ace34ede92126034b9b75e98.md,2814,Mechanical Toolset In Autodesk AutoCAD | Features,30,2753,indexed,docling_hierarchical_chunker,
cleaned_corpus\adsk-36b87cf7e6824632a1e99ea4aa915f8a.md,adsk-36b87cf7e6824632a1e99ea4aa915f8a.md,296,Overview,7,285,indexed,docling_hierarchical_chunker,
cleaned_corpus\adsk-36bbb35aa8614f51a2571f4e6a9ffd5c.md,adsk-36bbb35aa8614f51a2571f4e6a9ffd5c.md,921,TruNest,11,896,indexed,docling_hierarchical_chunker,
cleaned_corpus\adsk-36de4d4fa0ac41b58318888c84f1ed83.md,adsk-36de4d4fa0ac41b58318888c84f1ed83.md,5874,Fusion 360 Manage with Upchain features | 2023 features | Autodesk,67,5739,indexed,docling_hierarchical_chunker,
cleaned_corpus\adsk-371bb181b5b745d9965bd00435ccddb9.md,adsk-371bb181b5b745d9965bd00435ccddb9.md,1810,Autodesk Affiliate Program | Overview,17,1749,indexed,docling_hierarchical_chunker,
cleaned_corpus\adsk-375fa9d9e5f64895b6fd2f0bc4461243.md,adsk-375fa9d9e5f64895b6fd2f0bc4461243.md,2398,Autodesk Network Share | Administrator Installation,12,2363,indexed,docling_hierarchical_chunker,
cleaned_corpus\adsk-376ef7a5dc824957a54e5afa1d9fd1ce.md,adsk-376ef7a5dc824957a54e5afa1d9fd1ce.md,2672,AutoCAD ObjectARX SDK,13,2600,indexed,docling_hierarchical_chunker,
cleaned_corpus\adsk-377a9f7523424ea0907926b6823a66d2.md,adsk-377a9f7523424ea0907926b6823a66d2.md,22744,Guide to Winning More Construction Bids - Digital Builder,81,22359,indexed,docling_hierarchical_chunker,
cleaned_corpus\adsk-37c988abfea44dbeb8496b93a0f19c3b.md,adsk-37c988abfea44dbeb8496b93a0f19c3b.md,7021,Miron Enhances Coordination by Modernizing Data Management,19,6904,indexed,docling_hierarchical_chunker,
cleaned_corpus\adsk-380f9f4f8ef34126bfa053bfe2d572f8.md,adsk-380f9f4f8ef34126bfa053bfe2d572f8.md,8619,Autodesk AutoCAD 2024 | Get Prices & Subscribe To AutoCAD Software,46,8506,indexed,docling_hierarchical_chunker,
cleaned_corpus\adsk-38414b03905b480f9d3d7bd51cce9f20.md,adsk-38414b03905b480f9d3d7bd51cce9f20.md,296,Overview,7,285,indexed,docling_hierarchical_chunker,
cleaned_corpus\adsk-3878b5c1c0e84a8082501a7cca30242f.md,adsk-3878b5c1c0e84a8082501a7cca30242f.md,296,Overview,7,285,indexed,docling_hierarchical_chunker,
cleaned_corpus\adsk-38936b02ee99475fb000dba1a5c4a3ab.md,adsk-38936b02ee99475fb000dba1a5c4a3ab.md,2710,Admin’s Guide to Education software | Autodesk,13,2661,indexed,docling_hierarchical_chunker,
cleaned_corpus\adsk-38958fc4db2d4470ba2d369b7879ef8b.md,adsk-38958fc4db2d4470ba2d369b7879ef8b.md,2180,Our Construction Software | Autodesk Construction Cloud,20,2141,indexed,docling_hierarchical_chunker,
cleaned_corpus\adsk-38d07d355a5a4b188e485733b3aeec8c.md,adsk-38d07d355a5a4b188e485733b3aeec8c.md,4288,Fusion 360 with PowerInspect | Latest Features | Autodesk,60,4171,indexed,docling_hierarchical_chunker,
cleaned_corpus\adsk-38e6c274a91d4865971fd74251b8a977.md,adsk-38e6c274a91d4865971fd74251b8a977.md,933,Partners | Autodesk,11,910,indexed,docling_hierarchical_chunker,
cleaned_corpus\adsk-39167b565b654acf8902c39dd23e31bb.md,adsk-39167b565b654acf8902c39dd23e31bb.md,1597,Technical Customer Support | Autodesk Construction Cloud,16,1568,indexed,docling_hierarchical_chunker,
cleaned_corpus\adsk-39806a9da8b04d50bee4cfaf620d68c0.md,adsk-39806a9da8b04d50bee4cfaf620d68c0.md,322,Perspectives Archives,7,311,indexed,docling_hierarchical_chunker,
cleaned_corpus\adsk-39c844f7a5b54d19be6fead8f7245cac.md,adsk-39c844f7a5b54d19be6fead8f7245cac.md,382,System Requirements for Autodesk Maya Creative 2023,7,371,indexed,docling_hierarchical_chunker,
cleaned_corpus\adsk-39cdda5aa53d419e9bc7f00dc79597df.md,adsk-39cdda5aa53d419e9bc7f00dc79597df.md,296,Overview,7,285,indexed,docling_hierarchical_chunker,
cleaned_corpus\adsk-3a9069f3afa94ef0a05f21717b0d1929.md,adsk-3a9069f3afa94ef0a05f21717b0d1929.md,296,Overview,7,285,indexed,docling_hierarchical_chunker,
cleaned_corpus\adsk-3aa4e52dbea64a5e9c483be55f953b17.md,adsk-3aa4e52dbea64a5e9c483be55f953b17.md,7098,3D CAD/CAM Software for Machinists | Fusion 360 | Autodesk,37,6967,indexed,docling_hierarchical_chunker,
cleaned_corpus\adsk-3b247354ca1c49239a0953b4923a85b6.md,adsk-3b247354ca1c49239a0953b4923a85b6.md,296,Overview,7,285,indexed,docling_hierarchical_chunker,
cleaned_corpus\adsk-3b547581b1b24704939683090d2c2194.md,adsk-3b547581b1b24704939683090d2c2194.md,99701,使用規約 | 一般規約 | Autodesk,136,37067,indexed,docling_hierarchical_chunker,
cleaned_corpus\adsk-3b5f10815afc4d8c9311bf594d3c206b.md,adsk-3b5f10815afc4d8c9311bf594d3c206b.md,1414,Autodesk License Types | Administrator Installation,12,1387,indexed,docling_hierarchical_chunker,
cleaned_corpus\adsk-3b7c51ccb2ab4e6bb718898cd44c804f.md,adsk-3b7c51ccb2ab4e6bb718898cd44c804f.md,6903,Trade in Your Perpetual License | Global Promotions | Autodesk,35,6815,indexed,docling_hierarchical_chunker,
