relative_path,output_path,extraction_method_used,warnings,title,raw_html_chars,raw_visible_chars,raw_tables,raw_table_rows,raw_headings,raw_lists,raw_code_blocks,cleaned_chars,cleaned_lines,cleaned_nonempty_lines,md_tables,md_headings,md_list_lines,md_code_fences,md_links,boilerplate_phrase_hits,punct_only_short_lines,replacement_chars,metadata_or_title_only,cleaned_to_raw_visible_ratio,cleaned_to_raw_html_ratio,quality_flags,flag_count
adsk-0b1e6f641b8d4014a2a3330cfaed53e0.html,cleaned_corpus\adsk-0b1e6f641b8d4014a2a3330cfaed53e0.md,trafilatura,,Autodesk Maya Creative Software | Get Prices & Buy Official Maya Creative (Formerly Maya LT),152803,3833,0,0,17,7,0,2111,46,24,0,1,0,0,4,0,0,0,False,0.5507,0.0138,heading_loss,1
adsk-21b0fec19bed4eb3bd8433ea000bfef9.html,cleaned_corpus\adsk-21b0fec19bed4eb3bd8433ea000bfef9.md,trafilatura,,Assemble BIM Data | Autodesk Construction Cloud,236086,3658,0,0,13,0,0,2200,37,19,0,1,0,0,0,0,0,0,False,0.6014,0.0093,heading_loss,1
adsk-eb55bc7e5d0e4708ab52696a14200caf.html,cleaned_corpus\adsk-eb55bc7e5d0e4708ab52696a14200caf.md,trafilatura,,Try Autodesk Forma | Forma Free Trial | Autodesk,112299,3229,0,0,11,5,0,2235,21,11,0,1,0,0,6,5,0,0,False,0.6922,0.0199,heading_loss,1
adsk-55cca6924b5549f59e802f5e8b265712.html,cleaned_corpus\adsk-55cca6924b5549f59e802f5e8b265712.md,beautifulsoup_fallback,used_beautifulsoup_fallback,Autodesk’s Candidate Privacy Statement | Autodesk,88766,931,0,0,2,2,0,2413,37,19,0,2,0,0,17,19,0,0,False,2.5918,0.0272,possible_boilerplate_remaining,1
adsk-6db9c8708a5c48738a5c217d8817957a.html,cleaned_corpus\adsk-6db9c8708a5c48738a5c217d8817957a.md,trafilatura,,You searched for recap pro - AEC Tech Drop,164670,4045,0,0,8,8,0,2460,27,14,0,1,0,0,0,0,0,0,False,0.6082,0.0149,heading_loss,1
adsk-0fb2f66ed0854689abc84cff7c73f1f0.html,cleaned_corpus\adsk-0fb2f66ed0854689abc84cff7c73f1f0.md,trafilatura,,Vault Roadmap | Overview,147010,4291,0,0,26,4,0,2512,41,21,0,1,0,0,0,0,0,0,False,0.5854,0.0171,heading_loss,1
adsk-a43e6f31b3fe44fcbda9e7aa31225dc3.html,cleaned_corpus\adsk-a43e6f31b3fe44fcbda9e7aa31225dc3.md,trafilatura,,Plant 3D Toolset In Autodesk AutoCAD | Features,174369,4959,0,0,11,9,0,2764,67,34,0,1,0,0,0,0,0,0,False,0.5574,0.0159,heading_loss,1
adsk-29a69e6516c04cedb479ad169f372498.html,cleaned_corpus\adsk-29a69e6516c04cedb479ad169f372498.md,trafilatura,,Autodesk Mudbox Software | Get Prices & Buy Official Mudbox 2024,378466,4289,0,0,17,7,0,3174,35,18,0,1,0,0,7,4,0,0,False,0.74,0.0084,heading_loss,1
adsk-bf7a13c66d5b478f8b692bb79294c552.html,cleaned_corpus\adsk-bf7a13c66d5b478f8b692bb79294c552.md,trafilatura,,"Moldflow | 2023, 2021 Features | Autodesk",149959,4673,0,0,14,7,0,3214,85,43,0,1,0,0,0,0,0,0,False,0.6878,0.0214,heading_loss,1
adsk-cb8f895ca454443cb84a0541ec8d0a5e.html,cleaned_corpus\adsk-cb8f895ca454443cb84a0541ec8d0a5e.md,trafilatura,,Autodesk Inventor CAM Software | Get Prices & Buy Official Inventor CAM 2024,409203,5448,0,0,21,8,0,3234,35,18,0,1,0,0,8,4,0,0,False,0.5936,0.0079,heading_loss,1
adsk-d99d3bd583c14446838a583683db092c.html,cleaned_corpus\adsk-d99d3bd583c14446838a583683db092c.md,trafilatura,,Autodesk Factory Design Utilities Software 2024 | Get Prices and Buy,412561,5956,0,0,22,8,0,3248,37,19,0,1,0,0,4,3,0,0,False,0.5453,0.0079,heading_loss,1
adsk-87a389e0acdb4b0eab32fcb21ae3208a.html,cleaned_corpus\adsk-87a389e0acdb4b0eab32fcb21ae3208a.md,trafilatura,,BIM Collaborate and BIM Collaborate Pro Features | Autodesk,155824,5072,0,0,13,7,0,3557,71,36,0,1,0,0,0,0,0,0,False,0.7013,0.0228,heading_loss,1
